Lot,Bedroom,Units,Electric,Internet,FiberOpt,HeatFuel,Rooms,Water,Built,Tenure,JuniorMtg,FamEmp,Lang,Family,HHpresence,Move,Npersons,Nchild,Under18,Over60,Over65,Workers,WkExp,WkStatus,Vehicles,BroadBND,HiWorth
1,2,1,60,1,2,1,6,1,5,2,,,1,6,4,6,,0,0,1,1,,,,0,2,0
1,5,2,50,3,,1,7,1100,7,2,,2,3,1,4,6,2,0,0,2,2,1,6,3,2,,0
1,5,2,110,1,1,1,14,80,13,1,3,7,4,3,4,4,5,0,0,2,1,3,13,13,3,1,1
1,3,2,40,1,2,1,6,990,5,2,,4,1,1,4,1,2,0,0,2,2,0,9,9,2,2,0
1,3,2,180,1,2,1,8,670,5,1,3,8,1,3,2,6,3,1,1,1,0,1,15,15,1,2,0
1,3,2,110,1,2,1,6,70,5,1,3,2,2,1,4,6,2,0,0,2,2,1,6,3,2,2,0
1,4,2,110,1,2,3,8,60,6,1,3,1,1,1,4,6,3,0,0,0,0,3,4,1,3,1,0
2,3,2,120,1,2,1,7,1200,5,1,2,1,3,1,4,6,3,0,0,0,0,3,5,1,3,1,0
2,3,2,360,1,2,3,8,2,5,1,3,8,1,3,4,7,4,0,0,2,1,0,15,15,4,1,0
1,3,2,70,1,2,1,6,400,5,2,,4,1,1,4,7,2,0,0,2,2,0,9,9,1,1,0
1,3,2,130,3,,1,7,450,10,1,3,2,2,1,4,4,2,0,0,0,0,1,3,3,1,,0
1,5,2,400,1,2,1,9,1900,3,2,,4,1,1,4,6,3,0,0,0,0,1,9,9,4,1,0
1,3,2,100,1,2,3,9,360,3,1,3,1,1,1,4,1,2,0,0,0,0,2,1,1,2,2,0
1,3,2,80,1,2,1,6,2200,4,1,3,4,1,1,4,7,2,0,0,2,2,0,9,9,3,1,0
1,4,2,260,1,2,3,10,60,11,2,,5,4,2,4,2,2,0,0,0,0,2,10,10,2,2,0
1,3,2,200,1,2,3,6,120,3,2,,1,1,1,2,4,4,2,1,0,0,2,1,1,2,2,1
