"Lot_Size","Num_of_Bedrooms","Unit_Type","Electric_Cost","Internet_Access","Fiber_Optic","Heatfuel_Type","Num_of_Rooms","Water_Cost","Built_Year","Ownership_Status","Mortgage_Equity_Status","Fam_Type_Emp_Status","Household_Language","Fam_Type_Household_Status","Children_Age","Residence_Duration","Family_Size","Num_of_Children","Under_18","Over_60","Over_65","Num_of_Workers","Household_Work_Exp","Household_Work_Status","Num_of_Vehicles","Mobile_Broadband","Prediction"
"1",3,"2",100,"2",NA,"1",6,900,"6","1","3","4","1","1","4","5",2,0,"0","1","0",0,"9","9",1,NA,"0"
"1",3,"2",90,"2",NA,"1",5,1200,"4","1","1",NA,"4","4","4","7",NA,0,"0","1","1",NA,NA,NA,2,NA,"0"
"1",5,"2",80,"1","2","1",10,480,"3","1","3","1","1","1","3","5",6,3,"1","0","0",3,"2","1",5,"1","0"
"1",3,"2",90,"1","1","1",5,840,"3","2",NA,"1","4","1","4","6",2,0,"0","0","0",1,"7","4",2,"1","0"
"1",3,"2",380,"1","2","1",9,2700,"6","1","3","1","1","1","4","5",2,0,"0","0","0",2,"1","1",3,"1","1"
"1",3,"2",230,"1","2","1",6,480,"3","1","3","2","1","1","4","7",2,0,"0","2","2",2,"4","3",2,"1","0"
"1",4,"2",40,"1","2","3",7,1200,"9","1","3","7","2","3","2","5",2,1,"1","0","0",1,"13","13",3,"2","0"
"1",4,"2",450,"1","2","1",8,4100,"6","1","3",NA,"1","5","4","1",NA,0,"0","0","0",NA,NA,NA,3,"1","0"
"1",5,"2",350,"1","2","1",8,2300,"1","1","3","4","4","1","4","6",2,0,"0","2","2",0,"9","9",3,"1","0"
"1",3,"2",100,"1","2","1",8,600,"1","1","3","2","4","1","4","7",4,0,"0","1","0",3,"2","3",4,"1","0"
"1",4,"2",190,"1","1","1",8,1400,"7","1","3","4","1","1","4","2",2,0,"0","2","0",0,"9","9",2,"2","0"
"1",4,"2",180,"1","2","1",8,90,"4","1","3","4","1","1","4","6",2,0,"0","2","2",0,"9","9",4,"2","0"
"1",3,"2",80,"1","2","2",6,500,"3","1","3","7","1","3","2","3",2,1,"1","0","0",1,"13","13",2,"2","0"
"1",3,"2",50,"1","2","1",5,1200,"5","1","3","2","1","1","4","7",2,0,"0","1","0",1,"6","3",2,"2","0"
